Structure,SMILES,SI Table numbers/name,Formal charge,Formal charge Class,Q_vsa_Ppos,Q_vsa_Ppos Class,vsa_don,vsa_don Class,PA Accum Class,PA Accum,EC accum
,O=S(c1ccc(C(CCC2)CCC[NH3+])c2c1)(c3ccccc3)=O,2.101,0.999,1,46,0,17.7,0,1,610 ± 20*,560 ± 7*
,FC(F)(F)c1ncc(NC(=O)Nc2cc3c(cc2)C[C@@H]([NH3+])CC3)cc1,2.102,0.998,1,73,0,29.1,1,1,607 ± 51*,1685 ± 72*
,O(CCC[NH3+])c1c(c(OC)ccc1)-c1[nH]nc(Nc2ncc(C#N)nc2)c1,2.103,0.998,1,110,1,23.4,1,1,599 ± 26*,1131 ± 146*
,O=C([C@]1([C@@]2([H])[C@@](CCC1)(C)c3ccc(C(C)C)cc3C(C2)[NH3+])C)OC,2.104,0.994,1,44,0,17.7,0,1,596 ± 70*,477 ± 75*
,O=C(Nc1cc2[nH]c(-c3cn(C)nc3)c3c2c(C(=O)NN=C3)c1)[C@H]([NH3+])C1CCCCC1,2.105,0.658,0,98,1,38.5,1,1,594 ± 50*,1283 ± 54*
,O=C([C@]1([C@@]2([H])[C@@](CCC1)(C)c3ccc(C(C)C)c(C[NH3+])c3CC2)C)OC,2.106,0.996,1,54,0,17.7,0,1,591 ± 28*,710 ± 56*
,O=C(NC(c1ccccc1)c1ccccc1)C[NH3+],2.107,0.676,0,64,0,23.4,1,1,572 ± 30*,931 ± 90*
,[NH3+][C@@]1(C)[C@H]2[C@@](C)([C@H]3C(C=C(C(C)C)CC3)=CC2)CCC1,2.108,0.999,1,26,0,17.7,0,1,569 ± 54*,28 ± 6
,Fc1ccc2c(/C(C(N2)=O)=C/C3=C(OC)C=CN3)c1C#C[C@H]([C@H]([C@@H](C)O)[NH3+])O,2.109,0.863,0,85,1,29.1,1,1,563 ± 48*,1264 ± 58*
,FC(F)(c1ccc(OC(c2ccccc2)CC[NH3+])cc1)F,2.11,0.996,1,53,0,17.7,0,1,547 ± 12*,936 ± 203*
,O=C(N)c1c(Nc2nc(C(O)(C)C)ccc2)cc(N[C@H]2[C@@H]([NH3+])CCCC2)nn1,2.111,0.999,1,119,1,46.9,1,1,529 ± 37*,812 ± 94*
,FC(F)(F)c1n2c(nn1)CN(C(=O)C[C@H]([NH3+])Cc1c(F)cc(F)c(F)c1)CC2,2.112,0.91,0,64,0,17.7,0,1,514 ± 28*,275 ± 9
,O=C(NCC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@H]([NH3+])[C@](C)(C3)CC2,2.113,0.999,1,51,0,23.4,1,1,508 ± 10*,127 ± 10
,O=C(N[C@H]1[C@H](OC(CC)CC)C=C(C(=O)NCC[NH3+])C[C@@H]1[NH3+])C,2.114,1.849,1,119,1,46.9,1,1,505 ± 17*,895 ± 2*
,O=C(N)c1c(Nc2nc(CC)ccc2)cc(N[C@H]2[C@@H]([NH3+])CCCC2)nn1,2.115,1.052,1,109,1,46.9,1,1,500 ± 20*,724 ± 58*
,[NH3+]Cc1cccc(CC2N(CC[NH2+]C2)c3ccc4[nH]ncc4c3)c1,2.116,1.968,1,112,1,23.4,1,1,500 ± 112*,621 ± 55*
,[NH3+]Cc1ccc(C(C)(C)C)cc1,2.117,0.996,1,39,0,17.7,0,1,498 ± 54*,726 ± 19*
,O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C[NH3+])(C3)CC2,2.118,0.987,1,62,0,17.7,0,1,496 ± 12*,320 ± 29*
,Clc1ccc(C(NC(C2CCCCC2)C[NH3+])=O)cc1NC(C(C(N3)=O)=Cc4c3nc(OC)nc4)=O,2.119,0.744,0,136,1,34.8,1,1,491 ± 10*,317 ± 4*
,O=C1N(c2c(C(C)=C1)cc3c4c2OCC(N4C(C=C3C)=O)C[NH3+])C,2.12,0.885,0,68,0,17.7,0,1,484 ± 91*,1114 ± 135*
,O=C1Oc2c(C)c3oc(C)c(C[NH3+])c3cc2C(C)=C1,2.121,0.99,1,54,0,17.7,0,1,476 ± 36*,817 ± 203*
,O=[S@@H0]1c2c(cccc2)CN(c2[nH+]c3c(c(NCC4([NH3+])COC4)c2)cc(C)cc3)CC1,2.122,1.157,1,144,1,29.1,1,1,467 ± 25*,826 ± 117*
